"","PATENT","GYEAR","CRECEIVE","CAT","CLAIMS","CMADE","GENERAL","ORIGINAL","FWDAPLAG","BCKGTLAG","CRECbinary","CAT01","CAT02","CAT03","CAT04","CAT05","CAT06","CRECordinal","CRECEIVEsqrt"
"1",4973153,1990,6,4,7,1,0.2778,0,3.8333,14,1,0,0,0,1,0,0,6,2.44948974278318
"2",4918310,1990,6,4,4,2,0,0,3,11.5,1,0,0,0,1,0,0,6,2.44948974278318
"3",5313733,1994,2,5,20,25,0.5,0.6049,5.5,27.36,1,0,0,0,0,1,0,2,1.4142135623731
"4",5190770,1993,3,5,1,13,0.6667,0.375,5.3333,27.3846,1,0,0,0,0,1,0,3,1.73205080756888
"5",5161319,1992,0,6,6,11,0,0.5625,10.5,24.4545,0,0,0,0,0,0,1,0,0
"6",5021737,1991,10,4,5,1,0.42,0,5.3,5,1,0,0,0,1,0,0,10,3.16227766016838
"7",5259090,1993,4,5,11,21,0.375,0.4615,5.25,31.9048,1,0,0,0,0,1,0,4,2
"8",5078002,1992,0,5,5,7,0,0.449,10.5,13,0,0,0,0,0,1,0,0,0
"9",5383094,1995,0,4,14,2,0,0.5,10.5,3,0,0,0,0,1,0,0,0,0
"10",5462759,1995,2,6,20,4,0,0.375,3,8.5,1,0,0,0,0,0,1,2,1.4142135623731
"11",5297996,1994,1,5,21,5,0,0,2,11.4,1,0,0,0,0,1,0,1,1
"12",5221186,1993,2,1,3,8,0,0.72,4.5,34.625,1,1,0,0,0,0,0,2,1.4142135623731
"13",4904598,1990,0,3,14,1,0,0,10.5,2,0,0,0,1,0,0,0,0,0
"14",5210367,1993,5,6,12,5,0.72,0,5.2,4.8,1,0,0,0,0,0,1,5,2.23606797749979
"15",5408923,1995,0,6,14,11,0,0.6111,10.5,30.3636,0,0,0,0,0,0,1,0,0
"16",5406324,1995,3,4,31,14,0.6667,0.8265,3.3333,6.5,1,0,0,0,1,0,0,3,1.73205080756888
"17",4890482,1990,3,4,6,5,0,0,6.3333,9.2,1,0,0,0,1,0,0,3,1.73205080756888
"18",4985357,1991,0,3,14,1,0,0,10.5,1,0,0,0,1,0,0,0,0,0
"19",4917030,1990,5,6,43,5,0.32,0,3.4,3.4,1,0,0,0,0,0,1,5,2.23606797749979
"20",5097224,1992,2,4,10,13,0,0.5207,3,16.7692,1,0,0,0,1,0,0,2,1.4142135623731
"21",5163173,1992,6,4,22,2,0.7778,0,4.6667,37,1,0,0,0,1,0,0,6,2.44948974278318
"22",5477532,1995,7,2,2,2,0.2449,0,3.4286,8,1,0,1,0,0,0,0,7,2.64575131106459
"23",4968144,1990,4,4,17,5,0.375,0.72,4.75,3.2,1,0,0,0,1,0,0,4,2
"24",5346931,1994,0,1,8,13,0,0.7929,10.5,13.3077,0,1,0,0,0,0,0,0,0
"25",5323101,1994,2,4,7,9,0.5,0.716,4.5,7.6667,1,0,0,0,1,0,0,2,1.4142135623731
"26",5464166,1995,0,5,21,12,0,0.5139,10.5,14.6667,0,0,0,0,0,1,0,0,0
"27",5189279,1993,0,4,20,26,0,0.7032,10.5,15.6538,0,0,0,0,1,0,0,0,0
"28",5062337,1991,6,5,24,5,0.5,0,5.6667,20.4,1,0,0,0,0,1,0,6,2.44948974278318
"29",5458772,1995,5,1,14,3,0.64,0,2,8.6667,1,1,0,0,0,0,0,5,2.23606797749979
"30",5348182,1994,6,6,10,33,0.7778,0.7264,3.8333,22.697,1,0,0,0,0,0,1,6,2.44948974278318
"31",5345484,1994,1,4,8,6,0,0.6111,3,10.1667,1,0,0,0,1,0,0,1,1
"32",5334694,1994,0,1,10,7,0,0.2449,10.5,12.1429,0,1,0,0,0,0,0,0,0
"33",5285547,1994,2,6,4,6,0.5,0.4444,4,38.1667,1,0,0,0,0,0,1,2,1.4142135623731
"34",5131347,1992,0,5,4,13,0,0,10.5,23.5385,0,0,0,0,0,1,0,0,0
"35",5334406,1994,2,6,29,13,0,0.7811,2.5,9.2308,1,0,0,0,0,0,1,2,1.4142135623731
"36",5248360,1993,7,1,4,5,0.6939,0.72,3.2857,3.4,1,1,0,0,0,0,0,7,2.64575131106459
"37",5229754,1993,6,2,4,19,0.7222,0.8512,3,13.9474,1,0,1,0,0,0,0,6,2.44948974278318
"38",5468585,1995,3,1,7,10,0.4444,0,2,3.3,1,1,0,0,0,0,0,3,1.73205080756888
"39",5391858,1995,6,4,15,14,0.7222,0.3787,3.8333,21,1,0,0,0,1,0,0,6,2.44948974278318
"40",5043356,1991,9,3,8,4,0.3704,0,5.3333,7.5,1,0,0,1,0,0,0,9,3
"41",4910788,1990,2,5,5,4,0,0,3.5,40,1,0,0,0,0,1,0,2,1.4142135623731
"42",5336886,1994,1,4,3,3,0,0,3,11,1,0,0,0,1,0,0,1,1
"43",5112485,1992,4,1,5,5,0,0.32,1.75,15.2,1,1,0,0,0,0,0,4,2
"44",5025524,1991,6,6,7,8,0.6111,0.7347,2.3333,14.25,1,0,0,0,0,0,1,6,2.44948974278318
"45",5432968,1995,6,5,9,5,0.4444,0,3.3333,19.4,1,0,0,0,0,1,0,6,2.44948974278318
"46",5362149,1994,0,1,2,11,0,0.56,10.5,46.5455,0,1,0,0,0,0,0,0,0
"47",5345023,1994,2,1,10,3,0,0,3,13.3333,1,1,0,0,0,0,0,2,1.4142135623731
"48",5058241,1991,3,1,9,7,0.4444,0.5,2.6667,20.5714,1,1,0,0,0,0,0,3,1.73205080756888
"49",5373794,1994,1,6,7,6,0,1,3,59.6667,1,0,0,0,0,0,1,1,1
"50",5473346,1995,2,2,13,7,0.5,0.7755,2,10,1,0,1,0,0,0,0,2,1.4142135623731
"51",5394881,1995,3,3,23,2,0.4444,0.5,2,10.5,1,0,0,1,0,0,0,3,1.73205080756888
"52",5382467,1995,10,1,10,3,0.18,0,3.2,8.3333,1,1,0,0,0,0,0,10,3.16227766016838
"53",4958548,1990,2,5,8,9,0.5,0.4938,7,4.7778,1,0,0,0,0,1,0,2,1.4142135623731
"54",5339834,1994,4,3,8,13,0.375,0.4028,2.75,9.3077,1,0,0,1,0,0,0,4,2
"55",5190241,1993,2,5,17,6,0.5,0.6111,2,12.6667,1,0,0,0,0,1,0,2,1.4142135623731
"56",5349963,1994,2,3,14,3,0,0,3,14.6667,1,0,0,1,0,0,0,2,1.4142135623731
"57",5345683,1994,1,6,2,9,0,0.5679,4,8.1111,1,0,0,0,0,0,1,1,1
"58",5283483,1994,8,4,11,0,0.75,1,1.5,85.1429,1,0,0,0,1,0,0,8,2.82842712474619
"59",5158813,1992,0,6,13,1,0,0,10.5,4,0,0,0,0,0,0,1,0,0
"60",5247640,1993,4,2,6,1,0.375,0,5,4,1,0,1,0,0,0,0,4,2
"61",5011593,1991,7,1,19,6,0.5714,0.5,5.8571,11.1667,1,1,0,0,0,0,0,7,2.64575131106459
"62",5225786,1993,1,4,4,3,0,0.5,6,19.6667,1,0,0,0,1,0,0,1,1
"63",5437308,1995,0,6,6,10,0,0.5625,10.5,18.2,0,0,0,0,0,0,1,0,0
"64",5126896,1992,2,2,34,4,0,0,7,4.25,1,0,1,0,0,0,0,2,1.4142135623731
"65",5364416,1994,1,1,9,2,0,0,4,6.5,1,1,0,0,0,0,0,1,1
"66",5350292,1994,5,4,20,3,0,0,4,14.6667,1,0,0,0,1,0,0,5,2.23606797749979
"67",5207347,1993,2,6,5,13,0.5,0.6122,3,45.0769,1,0,0,0,0,0,1,2,1.4142135623731
"68",5100791,1992,1,3,18,12,0,0,4,7.5833,1,0,0,1,0,0,0,1,1
"69",4917633,1990,4,4,7,5,0,0,4.25,18.2,1,0,0,0,1,0,0,4,2
"70",5025844,1991,2,5,6,7,0,0,1.5,11.8571,1,0,0,0,0,1,0,2,1.4142135623731
"71",5029727,1991,0,5,1,3,0,0,10.5,38.3333,0,0,0,0,0,1,0,0,0
"72",5438640,1995,1,2,18,3,0,0,1,10,1,0,1,0,0,0,0,1,1
"73",5362502,1994,7,6,14,8,0.5714,0,2.1429,10.875,1,0,0,0,0,0,1,7,2.64575131106459
"74",5313698,1994,1,5,9,2,0,0,3,44.5,1,0,0,0,0,1,0,1,1
"75",5042972,1991,6,6,4,3,0,0,8,6,1,0,0,0,0,0,1,6,2.44948974278318
"76",4987674,1991,7,5,10,1,0.4898,0,3.7143,12,1,0,0,0,0,1,0,7,2.64575131106459
"77",5417677,1995,3,3,12,5,0,0.56,2.3333,5.8,1,0,0,1,0,0,0,3,1.73205080756888
"78",5187004,1993,3,1,14,2,0,0.5,5.3333,7,1,1,0,0,0,0,0,3,1.73205080756888
"79",5435314,1995,9,3,13,3,0.5679,0.4444,2.1111,2.6667,1,0,0,1,0,0,0,9,3
"80",5400746,1995,8,5,17,7,0,0.449,2.875,10.7143,1,0,0,0,0,1,0,8,2.82842712474619
"81",5344687,1994,1,6,12,4,0,0.375,6,7.5,1,0,0,0,0,0,1,1,1
"82",4894604,1990,6,4,7,7,0.6111,0.5,6.1667,11.7143,1,0,0,0,1,0,0,6,2.44948974278318
