"","PATENT","GYEAR","CRECEIVE","CAT","CLAIMS","CMADE","GENERAL","ORIGINAL","FWDAPLAG","BCKGTLAG","CRECbinary","CAT01","CAT02","CAT03","CAT04","CAT05","CAT06","CRECordinal","CRECmdnSplt"
"1",5088056,1992,25,2,10,19,0.8448,0.7091,4.72,5.8421,1,0,1,0,0,0,0,15,1
"2",4973153,1990,6,4,7,1,0.2778,0,3.8333,14,1,0,0,0,1,0,0,6,1
"3",4963150,1990,12,3,4,0,0,1,4.9167,85.1429,1,0,0,1,0,0,0,12,1
"4",4918310,1990,6,4,4,2,0,0,3,11.5,1,0,0,0,1,0,0,6,1
"5",4914197,1990,14,1,12,1,0.5408,0,7.4286,4,1,1,0,0,0,0,0,14,1
"6",5313733,1994,2,5,20,25,0.5,0.6049,5.5,27.36,1,0,0,0,0,1,0,2,0
"7",5190770,1993,3,5,1,13,0.6667,0.375,5.3333,27.3846,1,0,0,0,0,1,0,3,0
"8",5161319,1992,0,6,6,11,0,0.5625,10.5,24.4545,0,0,0,0,0,0,1,0,0
"9",5021737,1991,10,4,5,1,0.42,0,5.3,5,1,0,0,0,1,0,0,10,1
"10",5259090,1993,4,5,11,21,0.375,0.4615,5.25,31.9048,1,0,0,0,0,1,0,4,1
"11",5064653,1991,16,3,40,46,0.7891,0.9036,5.9375,12.413,1,0,0,1,0,0,0,15,1
"12",5078002,1992,0,5,5,7,0,0.449,10.5,13,0,0,0,0,0,1,0,0,0
"13",5383094,1995,0,4,14,2,0,0.5,10.5,3,0,0,0,0,1,0,0,0,0
"14",5462759,1995,2,6,20,4,0,0.375,3,8.5,1,0,0,0,0,0,1,2,0
"15",5297996,1994,1,5,21,5,0,0,2,11.4,1,0,0,0,0,1,0,1,0
"16",5094618,1992,12,3,20,2,0.4861,0.5,2.75,5.5,1,0,0,1,0,0,0,12,1
"17",5221186,1993,2,1,3,8,0,0.72,4.5,34.625,1,1,0,0,0,0,0,2,0
"18",4904598,1990,0,3,14,1,0,0,10.5,2,0,0,0,1,0,0,0,0,0
"19",5210367,1993,5,6,12,5,0.72,0,5.2,4.8,1,0,0,0,0,0,1,5,1
"20",5408923,1995,0,6,14,11,0,0.6111,10.5,30.3636,0,0,0,0,0,0,1,0,0
"21",5406324,1995,3,4,31,14,0.6667,0.8265,3.3333,6.5,1,0,0,0,1,0,0,3,0
"22",4890482,1990,3,4,6,5,0,0,6.3333,9.2,1,0,0,0,1,0,0,3,0
"23",4985357,1991,0,3,14,1,0,0,10.5,1,0,0,0,1,0,0,0,0,0
"24",4917030,1990,5,6,43,5,0.32,0,3.4,3.4,1,0,0,0,0,0,1,5,1
"25",5097224,1992,2,4,10,13,0,0.5207,3,16.7692,1,0,0,0,1,0,0,2,0
"26",4910045,1990,12,1,8,7,0.6111,0.7347,4.75,5.4286,1,1,0,0,0,0,0,12,1
"27",5163173,1992,6,4,22,2,0.7778,0,4.6667,37,1,0,0,0,1,0,0,6,1
"28",5477532,1995,7,2,2,2,0.2449,0,3.4286,8,1,0,1,0,0,0,0,7,1
"29",5124584,1992,21,4,21,4,0.6032,0.375,3.9524,2.75,1,0,0,0,1,0,0,15,1
"30",4968144,1990,4,4,17,5,0.375,0.72,4.75,3.2,1,0,0,0,1,0,0,4,1
"31",5346931,1994,0,1,8,13,0,0.7929,10.5,13.3077,0,1,0,0,0,0,0,0,0
"32",5323101,1994,2,4,7,9,0.5,0.716,4.5,7.6667,1,0,0,0,1,0,0,2,0
"33",5464166,1995,0,5,21,12,0,0.5139,10.5,14.6667,0,0,0,0,0,1,0,0,0
"34",5189279,1993,0,4,20,26,0,0.7032,10.5,15.6538,0,0,0,0,1,0,0,0,0
"35",4977892,1990,20,3,36,10,0.715,0.78,5.15,10.8,1,0,0,1,0,0,0,15,1
"36",5062337,1991,6,5,24,5,0.5,0,5.6667,20.4,1,0,0,0,0,1,0,6,1
"37",5458772,1995,5,1,14,3,0.64,0,2,8.6667,1,1,0,0,0,0,0,5,1
"38",5348182,1994,6,6,10,33,0.7778,0.7264,3.8333,22.697,1,0,0,0,0,0,1,6,1
"39",5085079,1992,13,4,8,8,0.142,0.2188,3.7692,7.25,1,0,0,0,1,0,0,13,1
"40",5345484,1994,1,4,8,6,0,0.6111,3,10.1667,1,0,0,0,1,0,0,1,0
"41",5334694,1994,0,1,10,7,0,0.2449,10.5,12.1429,0,1,0,0,0,0,0,0,0
"42",5219789,1993,16,4,3,4,0.4688,0.625,3.125,4.75,1,0,0,0,1,0,0,15,1
"43",5285547,1994,2,6,4,6,0.5,0.4444,4,38.1667,1,0,0,0,0,0,1,2,0
"44",5131347,1992,0,5,4,13,0,0,10.5,23.5385,0,0,0,0,0,1,0,0,0
"45",5334406,1994,2,6,29,13,0,0.7811,2.5,9.2308,1,0,0,0,0,0,1,2,0
"46",4945633,1990,11,5,5,2,0.7603,0.5,5.0909,11,1,0,0,0,0,1,0,11,1
"47",5248360,1993,7,1,4,5,0.6939,0.72,3.2857,3.4,1,1,0,0,0,0,0,7,1
"48",5229754,1993,6,2,4,19,0.7222,0.8512,3,13.9474,1,0,1,0,0,0,0,6,1
"49",5468585,1995,3,1,7,10,0.4444,0,2,3.3,1,1,0,0,0,0,0,3,0
"50",5391858,1995,6,4,15,14,0.7222,0.3787,3.8333,21,1,0,0,0,1,0,0,6,1
"51",5043356,1991,9,3,8,4,0.3704,0,5.3333,7.5,1,0,0,1,0,0,0,9,1
"52",4910788,1990,2,5,5,4,0,0,3.5,40,1,0,0,0,0,1,0,2,0
"53",5336886,1994,1,4,3,3,0,0,3,11,1,0,0,0,1,0,0,1,0
"54",5112485,1992,4,1,5,5,0,0.32,1.75,15.2,1,1,0,0,0,0,0,4,1
"55",5025524,1991,6,6,7,8,0.6111,0.7347,2.3333,14.25,1,0,0,0,0,0,1,6,1
"56",5432968,1995,6,5,9,5,0.4444,0,3.3333,19.4,1,0,0,0,0,1,0,6,1
"57",5362149,1994,0,1,2,11,0,0.56,10.5,46.5455,0,1,0,0,0,0,0,0,0
"58",5345023,1994,2,1,10,3,0,0,3,13.3333,1,1,0,0,0,0,0,2,0
"59",5058241,1991,3,1,9,7,0.4444,0.5,2.6667,20.5714,1,1,0,0,0,0,0,3,0
"60",5373794,1994,1,6,7,6,0,1,3,59.6667,1,0,0,0,0,0,1,1,0
"61",5473346,1995,2,2,13,7,0.5,0.7755,2,10,1,0,1,0,0,0,0,2,0
"62",5394881,1995,3,3,23,2,0.4444,0.5,2,10.5,1,0,0,1,0,0,0,3,0
"63",4892539,1990,55,3,16,23,0.6327,0.3884,6.4364,14.3478,1,0,0,1,0,0,0,15,1
"64",5092664,1992,13,1,3,8,0.6272,0,5.2308,11.5,1,1,0,0,0,0,0,13,1
"65",5382467,1995,10,1,10,3,0.18,0,3.2,8.3333,1,1,0,0,0,0,0,10,1
"66",4958548,1990,2,5,8,9,0.5,0.4938,7,4.7778,1,0,0,0,0,1,0,2,0
"67",5339834,1994,4,3,8,13,0.375,0.4028,2.75,9.3077,1,0,0,1,0,0,0,4,1
"68",5046461,1991,12,5,21,6,0.5833,0.6667,2.75,1.3333,1,0,0,0,0,1,0,12,1
"69",5190241,1993,2,5,17,6,0.5,0.6111,2,12.6667,1,0,0,0,0,1,0,2,0
"70",5349963,1994,2,3,14,3,0,0,3,14.6667,1,0,0,1,0,0,0,2,0
